,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI,Poverty %
33,South America,Colombia,32.2,7.646,4.312,88.042,11.958,3144547,82291,2.616942917374108,1.71,13254.949,0.767,4.4
34,Africa,Comoros,20.4,2.963,1.726,95.311,4.688999999999993,3864,146,3.778467908902691,2.2,1413.89,0.554,17.9
35,North America,Costa Rica,33.6,9.468,5.694,84.838,15.16200000000001,290920,3673,1.262546404509831,1.13,15524.995,0.81,1.7
36,Europe,Croatia,44.0,19.724,13.053,67.223,32.777,350997,7765,2.212269620538067,5.54,22669.797,0.851,0.5
37,Europe,Cyprus,37.3,13.416,8.563,78.021,21.979,71398,348,0.487408610885459,3.4,32415.132,0.887,0.0
38,Europe,Czechia,43.3,19.027,11.58,69.393,30.607,1654219,29933,1.809494389799658,6.63,32605.906,0.9,0.0
39,Europe,Denmark,42.3,19.677,12.325,67.998,32.002,268956,2504,0.9310073023096714,2.5,46682.515,0.94,0.4
40,Africa,Djibouti,25.4,4.213,2.38,93.40700000000001,6.592999999999989,11455,151,1.318201658664339,1.4,2705.406,0.524,17.4
41,North America,Dominican Republic,27.6,6.981,4.419,88.60000000000001,11.39999999999999,278549,3597,1.29133473823277,1.6,14600.861,0.756,0.7
42,South America,Ecuador,28.1,7.104,4.458,88.438,11.562,411466,19877,4.830775811367161,1.5,10581.936,0.759,3.3
43,Africa,Egypt,25.3,5.159,2.891,91.94999999999999,8.050000000000011,248078,14441,5.821153024451987,1.6,10550.206,0.707,3.2
44,North America,El Salvador,27.6,8.273,5.417,86.31,13.69,71479,2195,3.070831992613215,1.3,7292.458,0.673,1.8
45,Africa,Equatorial Guinea,22.4,2.846,1.752,95.402,4.597999999999999,7694,112,1.4556797504549,2.1,22604.873,0.592,0.0
46,Africa,Eritrea,19.3,3.607,2.171,94.222,5.778000000000006,3879,14,0.3609177623098737,0.7,1510.459,0.459,0.0
47,Europe,Estonia,42.7,19.452,13.491,67.057,32.943,127500,1229,0.9639215686274509,4.69,29481.252,0.892,0.6
48,Africa,Eswatini,21.5,3.163,1.845,94.992,5.007999999999996,18525,672,3.627530364372469,2.1,7738.975,0.611,0.0
49,Africa,Ethiopia,19.8,3.526,2.063,94.411,5.588999999999999,267100,4021,1.505428678397604,0.3,1729.927,0.485,30.11
50,Oceania,Fiji,28.6,6.224,3.284,90.49199999999999,9.50800000000001,178,4,2.247191011235955,2.3,8702.975,0.743,1.7
51,Europe,Finland,42.8,21.228,13.264,65.508,34.492,90398,933,1.032102480143366,3.28,40585.721,0.938,0.1
52,Europe,France,42.0,19.718,13.079,67.203,32.797,5959593,108201,1.815577003328918,5.98,38605.671,0.901,0.0
53,Africa,Gabon,23.1,4.45,2.976,92.574,7.426000000000002,23909,145,0.6064661842820696,6.3,16562.413,0.703,3.7
54,Africa,Gambia,17.5,2.339,1.417,96.244,3.756,5957,175,2.937720329024677,1.1,1561.767,0.496,10.4
