country,total_cases,total_deaths,gdp_per_capita,deaths_ratio
Seychelles,9764.0,35.0,26382.287,0.35845964768537486
Sierra Leone,4107.0,79.0,1390.3,1.92354516678841
Singapore,61651.0,31.0,85535.383,0.050283044881672644
Slovakia,387892.0,12248.0,30155.152,3.1575799449331257
Slovenia,249921.0,4333.0,31400.84,1.7337478643251267
South Africa,1617840.0,55340.0,12294.876,3.420610196311131
South Korea,133471.0,1912.0,35938.374,1.4325209221478823
South Sudan,10652.0,115.0,1569.888,1.079609463011641
Spain,3619848.0,79502.0,34272.36,2.1962800647983007
Sri Lanka,147720.0,1015.0,11669.077,0.6871107500676956
Sudan,34889.0,2446.0,4466.507,7.010805698071025
Suriname,12251.0,238.0,13767.119,1.942698555219982
Sweden,1047143.0,14301.0,46949.283,1.3657160483334176
Switzerland,683400.0,10752.0,57410.166,1.5733099209833186
Tajikistan,13308.0,90.0,2896.913,0.6762849413886384
Tanzania,509.0,21.0,2683.304,4.12573673870334
Thailand,113555.0,649.0,16277.671,0.5715292149178812
Timor,4765.0,10.0,6570.102,0.2098635886673662
Togo,13286.0,125.0,1429.813,0.9408399819358723
Trinidad and Tobago,17150.0,317.0,28763.071,1.8483965014577262
Tunisia,328528.0,11971.0,10849.297,3.6438294452832025
Turkey,5139485.0,45186.0,25129.341,0.8791931487298824
Uganda,42930.0,349.0,1697.707,0.8129513160959702
Ukraine,2216856.0,50425.0,7894.393,2.2746177469352995
United Arab Emirates,548681.0,1637.0,67293.483,0.29835186565600047
United Kingdom,4468582.0,127953.0,39753.244,2.8633915635877334
United States,32997331.0,587219.0,54225.446,1.7795954466741568
Uruguay,246026.0,3578.0,20551.409,1.454317836326242
Uzbekistan,97068.0,672.0,6253.104,0.6922981827172704
Vanuatu,4.0,1.0,2921.909,25.0
Venezuela,217603.0,2428.0,16745.022,1.1157934403477894
Vietnam,4512.0,37.0,6171.884,0.8200354609929078
World,164231810.0,3404338.0,15469.207,2.072885880025313
Yemen,6586.0,1297.0,1479.147,19.69328879441239
Zambia,92520.0,1263.0,3689.251,1.3651102464332037
Zimbabwe,38595.0,1583.0,1899.775,4.10156756056484
