,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI,Poverty %
102,Europe,Sweden,41.0,19.985,13.433,66.582,33.418000000000006,1047143.0,14301.0,1.3657160483334176,2.22,46949.283,0.945,0.2
103,Europe,Switzerland,43.1,18.436,12.644,68.91999999999999,31.080000000000013,683400.0,10752.0,1.5733099209833186,4.53,57410.166,0.955,0.0
104,Asia,Tajikistan,23.3,3.466,2.155,94.379,5.620999999999995,13308.0,90.0,0.6762849413886384,4.8,2896.913,0.668,4.11
105,Asia,Thailand,40.1,11.373,6.89,81.737,18.263000000000005,113555.0,649.0,0.5715292149178812,2.1,16277.671,0.777,0.3
106,Africa,Togo,19.4,2.839,1.525,95.636,4.364000000000004,13286.0,125.0,0.9408399819358723,0.7,1429.813,0.515,49.11
107,Africa,Tunisia,32.7,8.001,5.075,86.92399999999999,13.076000000000008,328528.0,11971.0,3.6438294452832025,2.3,10849.297,0.74,0.2
108,Asia,Turkey,31.6,8.153,5.061,86.786,13.213999999999999,5139485.0,45186.0,0.8791931487298824,2.81,25129.341,0.82,0.1
109,Africa,Uganda,16.4,2.168,1.308,96.52399999999999,3.4760000000000133,42930.0,349.0,0.8129513160959702,0.5,1697.707,0.544,41.1
110,Europe,Ukraine,41.4,16.462,11.133,72.405,27.595,2216856.0,50425.0,2.2746177469352995,8.8,7894.393,0.779,0.0
111,Asia,United Arab Emirates,34.0,1.144,0.526,98.33,1.6700000000000017,548681.0,1637.0,0.29835186565600047,1.2,67293.483,0.89,0.0
112,Europe,United Kingdom,40.8,18.517,12.527,68.956,31.043999999999997,4468582.0,127953.0,2.8633915635877334,2.54,39753.244,0.932,0.2
113,North America,United States,38.3,15.413,9.732,74.855,25.144999999999996,32997331.0,587219.0,1.7795954466741568,2.77,54225.446,0.926,1.5
114,South America,Uruguay,35.6,14.655,10.361,74.984,25.016000000000005,246026.0,3578.0,1.454317836326242,2.8,20551.409,0.817,0.4
115,Asia,Yemen,20.3,2.922,1.583,95.495,4.5049999999999955,6586.0,1297.0,19.69328879441239,0.7,1479.147,0.47,18.11
116,Africa,Zambia,17.7,2.48,1.542,95.978,4.022000000000006,92520.0,1263.0,1.3651102464332037,2.0,3689.251,0.584,57.8
117,Africa,Zimbabwe,19.6,2.822,1.882,95.29599999999999,4.704000000000008,38595.0,1583.0,4.10156756056484,1.7,1899.775,0.571,33.12
