country,median_age,aged_65_older,aged_70_older,gdp_per_capita,deaths_ratio,non_risky_age,risky_age
Eritrea,19.3,3.607,2.171,1510.459,0.3609177623098737,74.922,25.078000000000003
Estonia,42.7,19.452,13.491,29481.252,0.9639215686274509,24.357,75.643
Eswatini,21.5,3.163,1.845,7738.975,3.6275303643724692,73.492,26.507999999999996
Ethiopia,19.8,3.526,2.063,1729.927,1.5054286783976039,74.611,25.388999999999996
Fiji,28.6,6.224,3.284,8702.975,2.247191011235955,61.892,38.108
Finland,42.8,21.228,13.264,40585.721,1.032102480143366,22.708000000000002,77.292
France,42.0,19.718,13.079,38605.671,1.8155770033289185,25.202999999999996,74.797
Gabon,23.1,4.45,2.976,16562.413,0.6064661842820696,69.474,30.525999999999996
Gambia,17.5,2.339,1.417,1561.767,2.937720329024677,78.744,21.256
Georgia,38.7,14.864,10.244,9745.079,1.3533228452567523,36.19199999999999,63.80800000000001
Germany,46.6,21.453,15.957,45229.245,2.3969439386531026,15.989999999999998,84.01
Ghana,21.1,3.385,1.948,4227.63,0.8384195309990363,73.56700000000001,26.432999999999993
Greece,45.3,20.396,14.524,24574.382,3.025184516846506,19.78,80.22
Grenada,29.4,7.304,5.021,13593.877,0.6211180124223602,58.27499999999999,41.72500000000001
Guatemala,22.9,4.694,3.016,7423.808,3.2592757348095427,69.38999999999999,30.610000000000014
Guinea,19.0,3.135,1.733,1998.926,0.6694963462127511,76.13199999999999,23.86800000000001
Guinea-Bissau,19.4,3.002,1.565,1548.675,1.788574479444741,76.033,23.967
Guyana,26.3,5.305,2.837,7435.047,2.23243173288469,65.558,34.44199999999999
Haiti,24.3,4.8,2.954,1653.173,2.026627218934911,67.94600000000001,32.05399999999999
Honduras,24.9,4.652,2.883,4541.795,2.636593410925721,67.565,32.435
Hungary,43.4,18.577,11.976,26777.561,3.6644116377017477,26.046999999999997,73.953
Iceland,37.3,14.431,9.207,46482.958,0.4428156970529852,39.062000000000005,60.937999999999995
India,28.2,5.989,3.414,6426.674,1.110936358291566,62.39699999999999,37.60300000000001
Indonesia,29.3,5.319,3.053,11188.744,2.7729188951110553,62.328,37.672
Iran,32.4,5.44,3.182,19082.62,2.78950786406492,58.977999999999994,41.022000000000006
Iraq,20.0,3.186,1.957,15663.986,1.3975350233837978,74.857,25.143
Ireland,38.7,13.928,8.678,67335.293,1.938635382744144,38.694,61.306
Israel,30.6,11.733,7.359,33132.32,0.7617077411290005,50.308,49.692
Italy,47.9,23.021,16.24,35220.084,2.987671060288815,12.839000000000002,87.161
Jamaica,31.4,9.684,6.39,8193.571,1.849238610754228,52.525999999999996,47.474000000000004
Japan,48.2,27.049,18.493,39002.223,1.7005317853782793,6.257999999999999,93.742
Jordan,23.2,3.81,2.361,8337.49,1.2795416501475705,70.62899999999999,29.37100000000001
Kazakhstan,30.6,6.991,4.625,24055.588,0.8137235444200277,57.784000000000006,42.215999999999994
Kenya,20.0,2.686,1.528,2993.028,1.8198137416719877,75.78599999999999,24.214000000000013
Kuwait,33.7,2.345,1.114,65530.537,0.5794109832614605,62.841,37.159
Kyrgyzstan,26.3,4.489,2.882,3393.474,1.701562902363172,66.329,33.67100000000001
Laos,24.4,4.029,2.322,6397.36,0.11855364552459988,69.249,30.751000000000005
Latvia,43.9,19.754,14.136,25063.846,1.7717269675494216,22.210000000000004,77.78999999999999
Lebanon,31.1,8.514,5.43,13367.565,1.424087789858989,54.95600000000001,45.04399999999999
Lesotho,22.2,4.506,2.647,2851.153,2.9657089898053752,70.64699999999999,29.35300000000001
