,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI
67,Asia,India,28.2,5.989,3.414,90.597,9.403000000000006,25496330.0,283248.0,1.110936358291566,0.53,6426.674,0.645
68,Asia,Indonesia,29.3,5.319,3.053,91.628,8.372,1748230.0,48477.0,2.7729188951110553,1.04,11188.744,0.718
69,Asia,Iran,32.4,5.44,3.182,91.378,8.622,2779415.0,77532.0,2.78950786406492,1.5,19082.62,0.783
70,Asia,Iraq,20.0,3.186,1.957,94.857,5.143000000000001,1146948.0,16029.0,1.3975350233837978,1.4,15663.986,0.674
71,Europe,Ireland,38.7,13.928,8.678,77.394,22.605999999999995,254870.0,4941.0,1.938635382744144,2.96,67335.293,0.955
72,Asia,Israel,30.6,11.733,7.359,80.908,19.092,839167.0,6392.0,0.7617077411290005,2.99,33132.32,0.919
73,Europe,Italy,47.9,23.021,16.24,60.739000000000004,39.260999999999996,4167025.0,124497.0,2.987671060288815,3.18,35220.084,0.892
74,North America,Jamaica,31.4,9.684,6.39,83.926,16.073999999999998,47479.0,878.0,1.849238610754228,1.7,8193.571,0.734
75,Asia,Japan,48.2,27.049,18.493,54.458,45.542,694077.0,11803.0,1.7005317853782793,13.05,39002.223,0.919
76,Asia,Jordan,23.2,3.81,2.361,93.829,6.1710000000000065,726432.0,9295.0,1.2795416501475705,1.4,8337.49,0.729
77,Asia,Kazakhstan,30.6,6.991,4.625,88.384,11.616,418201.0,3403.0,0.8137235444200277,6.7,24055.588,0.825
78,Africa,Kenya,20.0,2.686,1.528,95.78599999999999,4.214000000000013,166006.0,3021.0,1.8198137416719877,1.4,2993.028,0.601
79,Asia,Kuwait,33.7,2.345,1.114,96.541,3.459000000000003,293574.0,1701.0,0.5794109832614605,2.0,65530.537,0.806
80,Asia,Kyrgyzstan,26.3,4.489,2.882,92.62899999999999,7.371000000000009,100966.0,1718.0,1.701562902363172,4.5,3393.474,0.697
81,Asia,Laos,24.4,4.029,2.322,93.649,6.350999999999999,1687.0,2.0,0.11855364552459988,1.5,6397.36,0.613
82,Europe,Latvia,43.9,19.754,14.136,66.11,33.89,128688.0,2280.0,1.7717269675494216,5.57,25063.846,0.866
83,Asia,Lebanon,31.1,8.514,5.43,86.05600000000001,13.943999999999988,536554.0,7641.0,1.424087789858989,2.9,13367.565,0.744
