Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019]
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Dinamarca;DNK;3,56879E+11;3,50104E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Djibouti;DJI;3012820410;3324634256
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Dominica;DMA;551074074,1;582403703,7
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República Dominicana;DOM;85555378044;88941299734
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Ecuador;ECU;1,07562E+11;1,07436E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Egipto, República Árabe de;EGY;2,49713E+11;3,03092E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;El Salvador;SLV;26117400000;27022640000
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Guinea Ecuatorial;GNQ;13278488567;11026774945
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Eritrea;ERI;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Estonia;EST;30631142227;31471100656
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Eswatini;SWZ;4665424249;4471598727
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Etiopía;ETH;84269348327;95912590628
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Feroe;FRO;3116887847;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Fiji;FJI;5581393121;5496250694
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Finlandia;FIN;2,75947E+11;2,69296E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Francia;FRA;2,78786E+12;2,71552E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Polinesia Francesa;PYF;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Gabón;GAB;16862282414;16874450215
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Gambia;GMB;1670670669;1826073740
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Georgia;GEO;17599700091;17477255546
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Alemania;DEU;3,96377E+12;3,86112E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Ghana;GHA;65556464048;66983634224
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Gibraltar;GIB;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Grecia;GRC;2,18138E+11;2,09853E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Groenlandia;GRL;3051626390;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Granada;GRD;1168696296;1210603704
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Guam;GUM;5920000000;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Guatemala;GTM;73118147941;76710355347
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Guinea;GIN;10907214994;12296665331
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Guinea-Bissau;GNB;1458868242;1339449165
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Guyana;GUY;4787635821;5173759528
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Haití;HTI;15965670198;14332163266
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Honduras;HND;24024189736;25095395475
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Hong Kong, Región Administrativa Especial;HKG;3,61697E+11;3,65712E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Hungría;HUN;1,60419E+11;1,63469E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islandia;ISL;25737594324;24188038474
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;India;IND;2,71317E+12;2,86893E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Indonesia;IDN;1,04224E+12;1,11919E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Irán, República Islámica del;IRN;4,53996E+11;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Iraq;IRQ;2,24228E+11;2,34094E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Irlanda;IRL;3,82674E+11;3,88699E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Isla de Man;IMN;7491969313;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Israel;ISR;3,70588E+11;3,94652E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Italia;ITA;2,09154E+12;2,00358E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Jamaica;JAM;15713908816;16458071068
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Japón;JPN;4,95481E+12;5,08177E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Jordania;JOR;42932112676;44502895862
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Kazajstán;KAZ;1,7934E+11;1,81666E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Kenya;KEN;87778582964;95503088538
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Kiribati;KIR;196737896;194647201,9
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Corea, República Popular Democrática de;PRK;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Corea, República de;KOR;1,72485E+12;1,64674E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Kosovo;XKX;7942961738;7926133714
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Kuwait;KWT;1,40645E+11;1,34629E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Kirguistán;KGZ;8271108638;8454619608
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República Democrática Popular Lao;LAO;17953786416;18173839147
